EscoPU,count
Escola Internacional,5
Escola Secundária De Zongoene,5
Escola Darul Ulomil Islamiyah,5
Escola Secundária De Nacarôa,5
Escola Secundária Aurélio Manave,5
Escola Secundária  Vale De Chitima,5
Escola Secundária Teresa Amuli,5
Escola Marista De Manhiça,5
Escola Secundária De Mazicuera,5
Colégio Angónia,5
Escola Secundária De Nhancoja,5
Escola Baitul Ihm,5
Escola Secundária De Mossuril,5
Escola Comunitária S. José De Estaquinha,5
Escola Secundária Eduardo Da Silva,5
Escola Secundária De Chidzolomondo,4
Escola Secundária De Lalaua,4
Escola Secundária De Associação De Pais,4
Escola Enko Sekeleka,4
Instituto De Planeamento Físico,4
Escola Secundária De Chiguivitane,4
Escola Secundária De Inhaminga,4
Instituto De Formação E Gestão,4
Escola Secundária Ellen G. White,4
Escola Secundária De Espungabera,4
Escola Comunitária Stª T. Do Menino Jesus,4
Escola Secundária 7 De Abril De Maimelane,4
Escola Secundária Marcelino Dos Santos,4
Escola Comunitária São José Da Munhava,4
Escola Secundária De Namialo,4
Escola Secundária De Mavudzi Ponte,4
Escola Secundária De Chiúre,4
Escola Secundária De Mutarara,4
Escola Secundária De Mueda,4
Escola Comunitária Santo António De Barada,4
Escola Secundária Do Zumbo Sede,4
Escola Secundária De Murrupula,4
Escola Santos Inocentes,4
Escola Pré-Universitária De Bonifácio Gruveta,4
Escola Secundária Inácio De Loyola,4
Escola Secundária Bispo Henderson,4
Escola Secunária De Muaguide,3
"Seminário Médio ""Cristo Rei""",3
Escola Secundária De Murromone,3
Escola Secundária De Balama,3
Escola Secundária De Alua,3
Escola Secundária De Maganga,3
Escola Secundária De Liúpo,3
Escola Comunitária De Metoro,3
Escola Secundária Santa Maria De Namuno,3
Instituto De Ciências De Saúde Da Beira,3
Escola Secundária De Muecate,3
Escola Secundária De Conguiana,3
Escola Secundária De Chibabava,3
Escola Secundária De Seli,3
Escola Secundária Santa Maria De Mocodoene,3
Escola Secundária Sagrada Família,3
Escola Secundária De Tsangano,3
Escola Secundária 14 De Outubro,3
Escola Secundária De Rapale,3
Escola Secundária Da Ademo,3
Escola Secundária De Chemba,3
Escola Secundária De Quissico,3
Escola Secundária De Molumbo,3
Escola Secundária De Magude,3
Colégio Delta,2
Escola Secundária De Metuchira,2
Escola Secundária De Mecúfi,2
Escola Secundária De Lapala,2
Escola Secundária De Mariri,2
Escola Secundária Galileu Galileu,2
Escola Secundária Padre Gumieiro,2
Escola Secundária De Macaloge,2
Escola Secundária De Nacala-Á-Velha,2
Escola Secundária De Machanga,2
Escola Secundária De Meconta,2
Escola Secundária De Alto Ligonha,2
Escola De Artes Visuais,2
Escola Comunitária Assoc. Muçulmana De Sofala,2
Escola Secundária De Magoe,2
Escola Secundária De Messaua,2
Instituto Médio De Geologia E Minas,2
Escola Comunitária Sê Rixile,2
Instituto Médio Pedagógico De Nampula,2
Escola Secundária De Luanda,2
Escola Secundária Do 1º Ciclo De Namina,2
Seminário Médio De Nampula,2
Escola Secundária Estrela Da Manhã,2
Escola Secundária Januário Pedro,2
Escola Técnico-Prof. De Geodesia E Cartografia,2
Escola Secundária De Anchilo,2
Escola Secundária De Sena,2
Escola Secundária De Luabo,2
Woodrose International School,2
Escola Secundária Do 1º E 2º  Ciclo De Memba,1
Escola Secundária De Namacata,1
Escola Secundária De Charre,1
Escola Secundária De Nau,1
Escola Missionária American Board,1
Escola Secundária De Palma,1
Colégio Horizonte,1
Escola Secundária De Namige,1
Escola Secundária De Guru,1
Escola Secundária De Armando Emílio Guebuza,1
Escola Secundária Aberto Moçambicano De Mitande,1
Escola Secundária Liceu Pitágoras,1
Escola Secundária American Board,1
Escola Secundária De Larde,1
Escola Secundária Mbavala,1
Escola De Formação Elija Machava,1
Escola Comunitária Estrela Da Manhã,1
Externato José Craveirinha,1
Escola Pré-Universitária De Mulevala,1
Ensino Secundário Aberto Moçambicano São Pedro,1
Escola Secundária De Cucuteia,1
Escola Secundária De Namitória,1
Instituto Agrário De Umbelúzi,1
Escola Secundária De Bândua,1
Instituto Nacional De Educação Física,1
Escola Secundária De Micaúne,1
Escola Secudária Armando Emílio Guebuza,1
Escola Secundária José António Macamo,1
Escola Secundária De Nachere,1
Escola Secundária De Cateme,1
Escola Secundária Do Iii Congresso,1
Escola Secundária Joaquim Marra,1
Escola Secundária Da Apolitécnica De Nacala,1
Escola Comunitária Tchi Tchinha,1
Escola Secundária João Somane Machado,1
Escola Comunitária Hitalhula,1
Instituto De Línguas De Maputo,1
Escola Secundária De Nhampassa,1
"Escola Comunitária Da Maxaquene ""D""",1
Escola Secundária De Macate,1
Escola Secundária Comunitária Dom Bosco,1
Ensino Secundário Aberto De Moçambique,1
Liceu Polana,1
